Designator,Footprint,Quantity,Value,LCSC Part #
"0201_6, 0201_5, 0201_4, 0201_3, 0201_2, 0201",0201,6,R_0201_0603Metric,
"0402_6, 0402_5, 0402_4, 0402_3, 0402_2, 0402",0402,6,R_0402_1005Metric,
"0603_6, 0603_5, 0603_4, 0603_3, 0603_2, 0603",0603,6,R_0603_1608Metric,
"0805_6, 0805_5, 0805_4, 0805_3, 0805_2, 0805",0805,6,R_0805_2012Metric,
2.5x2,CRYSTAL-SMD-2.5X2,1,,
3.2x2.5,CRYSTAL-SMD-3.2X2.5,1,,
5x3.2,CRYSTAL-SMD-5X3.2,1,,
BGA-121-9x9mm,BGA-121_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD,1,BGA-121_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD,
DFN-10,DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm,1,DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm,
E$41,MICROMELF-R,1,,
E$42,SC79_INFINEON,1,,
E$43,SMA-DIODE,1,,
E$44,SMB-DIODE,1,,
E$47,SOD-128,1,,
E$48,SOD-323,1,,
E$49,SOD80C,1,,
L-1812,1812,1,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
L-6.3x6.3mm,L_6.3x6.3_H3,1,L_6.3x6.3_H3,
QFN-48-7x7mm,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,1,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,
SC-59,SC-59,1,SC-59,
SC-70,SC70,1,,
SO-08,SO-8_3.9x4.9mm_P1.27mm,1,SO-8_3.9x4.9mm_P1.27mm,
SOT-143,SOT-143,1,SOT-143,
SOT-223,SOT-223,1,SOT-223,
SOT-23,SOT-23,1,SOT-23,
SOT-886,SOT-886,1,SOT-886,
SOT-89,SOT-89-3,1,SOT-89-3,
TO-252,TO-252-3_TabPin2,1,TO-252-3_TabPin2,
TQFP-32-7x7mm,TQFP-32_7x7mm_P0.8mm,1,TQFP-32_7x7mm_P0.8mm,
TQFP-48-7x7mm,TQFP-48_7x7mm_P0.5mm,1,TQFP-48_7x7mm_P0.5mm,
TSOP-I-28-11.8x8mm,TSOP-I-28_11.8x8mm_P0.55mm,1,TSOP-I-28_11.8x8mm_P0.55mm,
TSSOP-16,TSSOP-16_4.4x3.6mm_P0.4mm,1,TSSOP-16_4.4x3.6mm_P0.4mm,
