Designator,Mid X,Mid Y,Rotation,Layer
0201_6,104.520514,-85.5,0.0,bottom
0201_5,104.520514,-79.5,0.0,bottom
0201_4,109.020514,-82.5,0.0,bottom
0201_3,109.020514,-79.5,0.0,bottom
0201_2,109.030514,-85.5,0.0,bottom
0201,104.520514,-82.5,0.0,bottom
0402_6,113.5,-67.0,0.0,bottom
0402_5,113.5,-73.0,0.0,bottom
0402_4,113.5,-70.0,0.0,bottom
0402_3,118.0,-70.0,0.0,bottom
0402_2,118.0,-73.0,0.0,bottom
0402,118.0,-67.0,0.0,bottom
0603_6,108.925514,-69.5,0.0,bottom
0603_5,108.925514,-76.5,0.0,bottom
0603_4,104.425514,-69.5,0.0,bottom
0603_3,108.925514,-73.0,0.0,bottom
0603_2,104.425514,-76.5,0.0,bottom
0603,104.425514,-73.0,0.0,bottom
0805_6,113.4125,-80.5,0.0,bottom
0805_5,117.9125,-76.5,0.0,bottom
0805_4,117.9125,-84.5,0.0,bottom
0805_3,117.9125,-80.5,0.0,bottom
0805_2,113.4125,-76.5,0.0,bottom
0805,113.338014,-84.5,0.0,bottom
2.5x2,150.5,-72.0,0.0,bottom
3.2x2.5,151.5,-66.5,180.0,bottom
5x3.2,158.5,-68.5,0.0,bottom
BGA-121-9x9mm,154.9,-58.7,0.0,bottom
DFN-10,154.0,-84.5,270.0,bottom
E$41,145.216,-60.5098,90.0,bottom
E$42,146.74,-60.8654,90.0,bottom
E$43,135.4116,-58.9096,270.0,bottom
E$44,131.5,-58.3,90.0,bottom
E$47,138.612,-58.7826,90.0,bottom
E$48,143.438,-60.2558,270.0,bottom
E$49,141.406,-59.316,90.0,bottom
L-1812,106.5,-64.5,0.0,bottom
L-6.3x6.3mm,106.25,-57.5,0.0,bottom
QFN-48-7x7mm,127.125514,-81.588492,90.0,bottom
SC-59,148.0,-78.0,0.0,bottom
SC-70,160.15,-77.5,0.0,bottom
SO-08,115.0,-58.5,0.0,bottom
SOT-143,162.5,-83.0,180.0,bottom
SOT-223,139.0,-80.5,0.0,bottom
SOT-23,147.0625,-84.45,180.0,bottom
SOT-886,171.34,-82.5,0.0,bottom
SOT-89,154.0,-78.0,270.0,bottom
TO-252,182.0,-83.0,180.0,bottom
TQFP-32-7x7mm,127.125514,-70.138492,270.0,bottom
TQFP-48-7x7mm,141.425514,-70.000992,270.0,bottom
TSOP-I-28-11.8x8mm,153.5,-46.5,0.0,bottom
TSSOP-16,124.1375,-58.5,270.0,bottom
